敲竹杠	饮马投钱
翘尾巴	夹尾巴
清白吏	贪官污吏
请进来	走出去
全日制	半日制
绕道儿	抄近儿
热辣辣	冷冰冰
日西下	日东升
软乎乎	硬邦邦
软溜溜	硬邦邦
三贫路	直道
闪击战	持久战
上辈子	下辈子
上等生	劣等生
少而精	多而杂
生死交	半面之交
湿乎乎	干巴巴
湿渌渌	干巴巴
食用鱼	观赏鱼
受损失	讨便宜
兽力车	人力车
瘦刮刮	肥墩墩
瘦筋筋	肥墩墩
瘦精精	肥墩墩
耍滑头	拼老命
四周围	当中间儿
酸溜溜	甜不丝儿
随大溜	赶浪头
随风倒	赶浪头
随风转	赶浪头
甜乎乎	苦唧唧
甜溜溜	苦唧唧
甜蜜蜜	苦唧唧
甜滋滋	苦唧唧
通读生	寄宿生
通学生	寄宿生
顽固派	革命派
万不耐	不舞之鹤
忘年交	半面之交
乌沉沉	亮晃晃
乌洞洞	亮晃晃
无需乎	必须
捂盖子	揭盖子
西药房	中药店
稀乎乎	干乎乎
喜冲冲	怒冲冲
喜吟吟	怒冲冲
喜盈盈	怒冲冲
先驱者	后来人
先行者	后来人
小矮子	大个儿
小伙子	大姑娘
笑乎乎	哭啼啼
羞答答	不害臊
言声儿	不则声
眼底下	老年间
仰八叉	狗吃屎
一大堆	不丁点儿
一大批	不丁点儿
一回事	两回事
一些儿	大批
一阵儿	半天
一阵子	半天
硬绷绷	软乎乎
硬撅撅	软乎乎
有点儿	大为
有分寸	敞开儿
有会儿	一忽儿
有限度	敞开儿
有主见	随大溜
曰将暝	日东升
摘帽子	戴帽子
掌柜的	伙计
掌中珠	肉中刺
争面子	丢面子
正当中	大失所望
值个儿	不值当
值过儿	不值当
指挥员	战斗员
住读生	通读生
住校生	通读生
子公司	总公司
自己人	局外人
好性子	爆性子
红朴朴	白苍苍
假噪子	本噪子
栖身所	安乐窝
添麻烦	帮助
养老院	保育院
总公司	分公司
走八字	背字儿
走背运	走八字
走出去	请进来
走读生	寄宿生
走红运	背字儿
走神儿	凝神
走时运	背字儿
嘴啃泥	仰八叉
做长工	打短儿
做短工	打长工
做活儿	喘气
 
 
矮个子	高个子
爱国者	卖国贼
暗地里	明面上
凹面镜	凸面镜
凹透镜	凸透镜
白花花	白茫茫
