捕	放
敞	盖
臣	君
成	败
沉	浮
耻	荣
纯	杂
穿	脱
次	好
旦	夕
倒	顺
当	赎
跌	涨
奢	简
贵	贱
奖	罚
集	散
嫁	娶
吉	凶
系	解
手	脚
借	还
精	粗
闹	静
净	脏
久	暂
卷	舒
俊	丑
闭	开
启	停
可	否
客	主
枯	荣
乾	坤
阔	狭
赖	好
懒	勤
离	合
破	立
利	弊
劣	优
灵	笨
零	整
落	涨
暮	朝
这	那
偶	奇
抛	拾
纳	吐
恼	喜
